id,episode_id,aired
1,4596,2004-09-06
2,4605,2004-09-17
3,4684,2005-01-06
4,3935,2001-10-12
5,3936,2001-10-15
6,3937,2001-10-16
7,3938,2001-10-17
8,3939,2001-10-18
9,3940,2001-10-19
10,3668,2000-07-12
11,3941,2001-10-22
12,3942,2001-10-23
13,3943,2001-10-24
14,737,1987-11-17
15,3945,2001-10-26
16,3669,2000-07-13
17,3670,2000-07-14
18,5016,2006-06-05
19,5017,2006-06-06
20,3663,2000-07-05
21,3673,2000-07-19
22,5018,2006-06-07
23,3662,2000-07-04
24,5019,2006-06-08
25,4685,2005-01-07
26,3946,2001-10-29
27,3947,2001-10-30
28,13,1990-09-08
29,5020,2006-06-09
30,5021,2006-06-12
31,3674,2000-07-20
32,3951,2001-11-05
33,3952,2001-11-06
34,3953,2001-11-07
35,3954,2001-11-08
36,4686,2005-01-10
37,3955,2001-11-09
38,3956,2001-11-12
39,3957,2001-11-13
40,3958,2001-11-14
41,3959,2001-11-15
42,3960,2001-11-16
43,3961,2001-11-19
44,3962,2001-11-20
45,5022,2006-06-13
46,3675,2000-07-21
47,4687,2005-01-11
48,5023,2006-06-14
49,5024,2006-06-15
50,3307,1999-01-12
51,5025,2006-06-16
52,3308,1999-01-13
53,2735,1996-06-21
54,3309,1999-01-14
55,3310,1999-01-15
56,5026,2006-06-19
57,3311,1999-01-18
58,738,1987-11-18
59,3312,1999-01-19
60,5027,2006-06-20
61,5028,2006-06-21
62,2736,1996-06-24
63,3313,1999-01-20
64,3963,2001-11-21
65,3964,2001-11-22
66,3965,2001-11-23
67,5029,2006-06-22
68,3314,1999-01-21
69,4688,2005-01-12
70,5030,2006-06-23
71,3315,1999-01-22
72,3966,2001-11-26
73,3967,2001-11-27
74,3968,2001-11-28
75,3969,2001-11-29
76,3970,2001-11-30
77,3316,1999-01-25
78,5031,2006-06-26
79,3317,1999-01-26
80,4689,2005-01-13
81,2737,1996-06-25
82,5032,2006-06-27
83,3971,2001-12-03
84,3972,2001-12-04
85,3973,2001-12-05
86,3974,2001-12-06
87,3975,2001-12-07
88,3318,1999-01-27
89,5033,2006-06-28
90,3319,1999-01-28
91,4690,2005-01-14
92,5034,2006-06-29
93,3320,1999-01-29
94,5035,2006-06-30
95,3976,2001-12-10
96,3977,2001-12-11
97,3978,2001-12-12
98,3979,2001-12-13
99,3980,2001-12-14
100,3981,2001-12-17
101,3982,2001-12-18
102,4691,2005-01-17
103,3983,2001-12-19
104,3984,2001-12-20
105,3985,2001-12-21
106,3321,1999-02-01
107,4092,2002-05-21
108,4093,2002-05-22
109,4094,2002-05-23
110,4095,2002-05-24
111,3322,1999-02-02
112,5036,2006-07-03
113,4606,2004-09-20
114,4692,2005-01-18
115,4077,2002-04-30
116,4089,2002-05-16
117,4090,2002-05-17
118,4091,2002-05-20
119,3323,1999-02-03
120,3324,1999-02-04
121,5037,2006-07-04
122,5038,2006-07-05
123,3325,1999-02-05
124,3326,1999-02-08
125,4693,2005-01-19
126,5040,2006-07-07
127,5039,2006-07-06
128,3327,1999-02-09
129,3328,1999-02-10
130,5041,2006-07-10
131,3329,1999-02-11
132,5042,2006-07-11
133,3330,1999-02-12
134,5043,2006-07-12
135,3331,1999-02-15
136,739,1987-11-19
137,3986,2001-12-24
138,3987,2001-12-25
139,3988,2001-12-26
140,3989,2001-12-27
141,3990,2001-12-28
142,5044,2006-07-13
143,3332,1999-02-16
144,3333,1999-02-17
145,3334,1999-02-18
146,3335,1999-02-19
147,4694,2005-01-20
148,5045,2006-07-14
149,2066,1993-09-06
150,781,1988-01-18
151,2106,1993-11-01
152,1589,1991-06-27
153,1126,1989-06-26
154,3991,2001-12-31
155,3992,2002-01-01
156,3993,2002-01-02
157,3994,2002-01-03
158,4695,2005-01-21
159,3995,2002-01-04
160,3005,1997-09-26
161,3006,1997-09-29
162,3007,1997-09-30
163,3008,1997-10-01
164,3009,1997-10-02
165,3010,1997-10-03
166,3011,1997-10-06
167,3014,1997-10-09
168,3015,1997-10-10
169,740,1987-11-20
170,1753,1992-03-25
171,2709,1996-05-16
172,2710,1996-05-17
173,2660,1996-03-08
174,2805,1996-11-08
175,2756,1996-09-02
176,5046,2006-07-17
177,5047,2006-07-18
178,5048,2006-07-19
179,4096,2002-05-27
180,351,1986-01-13
181,4097,2002-05-28
182,4098,2002-05-29
183,4099,2002-05-30
184,4100,2002-05-31
185,5049,2006-07-20
186,3996,2002-01-07
187,3997,2002-01-08
188,3998,2002-01-09
189,3999,2002-01-10
190,4000,2002-01-11
191,4696,2005-01-24
192,5050,2006-07-21
193,5051,2006-07-24
194,5052,2006-07-25
195,5053,2006-07-26
196,5054,2006-07-27
197,5055,2006-07-28
198,3030,1997-10-31
199,3046,1997-11-24
200,3047,1997-11-25
201,3048,1997-11-26
202,4697,2005-01-25
203,4001,2002-01-14
204,4002,2002-01-15
205,4003,2002-01-16
206,4004,2002-01-17
207,4005,2002-01-18
208,4340,2003-06-13
209,3099,1998-02-05
210,3100,1998-02-06
211,4341,2003-06-16
212,3102,1998-02-10
213,2818,1996-11-27
214,3103,1998-02-11
215,3106,1998-02-16
216,3107,1998-02-17
217,3108,1998-02-18
218,3109,1998-02-19
219,3110,1998-02-20
220,3111,1998-02-23
221,3118,1998-03-04
222,3119,1998-03-05
